"","sample","log_conc_truesoil","acronym"
"341",643,8.5157943874526,"Arch_16S"
"342",205,8.26104176831843,"Arch_16S"
"343",212,8.38451079037513,"Arch_16S"
"344",219,8.82462036262441,"Arch_16S"
"345",226,8.72116814206428,"Arch_16S"
"346",631,8.06896284442041,"Arch_16S"
"347",645,7.97181123529881,"Arch_16S"
"348",429,7.72467812351381,"Arch_16S"
"349",436,7.93765074304536,"Arch_16S"
"350",443,7.64297104304536,"Arch_16S"
"351",450,8.05658134442041,"Arch_16S"
"352",642,8.49402369052971,"Arch_16S"
"353",230,8.66819434442041,"Arch_16S"
"354",237,8.57659114442041,"Arch_16S"
"355",744,7.98158699271486,"Arch_16S"
"356",251,8.91182386994969,"Arch_16S"
"357",535,7.53998988198252,"Arch_16S"
"358",202,8.90891900334289,"Arch_16S"
"359",209,8.89756904711005,"Arch_16S"
"360",216,8.56741584711005,"Arch_16S"
"361",223,8.78414534206428,"Arch_16S"
"362",307,8.70101278901907,"Arch_16S"
"363",314,7.64805818622466,"Arch_16S"
"364",321,8.46469994304536,"Arch_16S"
"365",328,8.56775354304536,"Arch_16S"
"366",334,8.80515692351381,"Arch_16S"
"367",341,8.65799228622466,"Arch_16S"
"368",348,8.57157034304536,"Arch_16S"
"369",355,8.25553772351381,"Arch_16S"
"370",509,7.53750809795699,"Arch_16S"
"371",529,7.43385371483064,"Arch_16S"
"372",536,8.00382317570233,"Arch_16S"
"373",543,7.97920183160385,"Arch_16S"
"374",550,7.78793042318653,"Arch_16S"
"375",326,8.50859314304536,"Arch_16S"
"376",523,7.59277268335122,"Arch_16S"
"377",431,7.50677454304536,"Arch_16S"
"378",531,7.94478143344313,"Arch_16S"
"379",538,7.81290006275709,"Arch_16S"
"380",545,7.98531801146711,"Arch_16S"
"381",552,7.87747597630876,"Arch_16S"
"382",632,8.16794664304536,"Arch_16S"
"383",534,8.24266832881859,"Arch_16S"
"384",541,8.05903704054246,"Arch_16S"
"385",548,8.27523054100945,"Arch_16S"
"386",555,8.03965921911693,"Arch_16S"
"387",422,7.59432754109727,"Arch_16S"
"388",734,8.28452512694463,"Arch_16S"
"389",741,8.3611276330562,"Arch_16S"
"390",704,8.25556784493184,"Arch_16S"
"391",711,8.51752449740825,"Arch_16S"
"392",718,8.23752432613118,"Arch_16S"
"393",725,8.12997293486556,"Arch_16S"
"394",617,8.12584954304536,"Arch_16S"
"395",335,8.47233354304536,"Arch_16S"
"396",342,8.72500412351381,"Arch_16S"
"397",349,8.72691252351381,"Arch_16S"
"398",356,8.07659034442041,"Arch_16S"
"399",726,8.03978728012657,"Arch_16S"
"400",203,8.81277134206428,"Arch_16S"
"401",210,8.15520144711005,"Arch_16S"
"402",217,8.67727494206428,"Arch_16S"
"403",224,8.80787424711005,"Arch_16S"
"404",221,8.79750414206428,"Arch_16S"
"405",228,8.59521374206428,"Arch_16S"
"406",211,8.30979078901907,"Arch_16S"
"407",218,8.58107599037513,"Arch_16S"
"408",729,7.9647997677767,"Arch_16S"
"409",201,8.87265940334289,"Arch_16S"
"410",208,8.80302736831843,"Arch_16S"
"411",215,8.26398024711005,"Arch_16S"
"412",222,8.67134776831843,"Arch_16S"
"413",435,7.19247956994969,"Arch_16S"
"414",442,7.23940234442041,"Arch_16S"
"415",449,8.26459054442041,"Arch_16S"
"416",456,7.53896644304536,"Arch_16S"
"417",413,7.59432754109727,"Arch_16S"
"418",404,7.59946718074968,"Arch_16S"
"419",411,7.60466837443549,"Arch_16S"
"420",418,8.05384270328791,"Arch_16S"
"421",425,7.589248015568,"Arch_16S"
"422",708,8.07239535668651,"Arch_16S"
"423",715,8.24426814124847,"Arch_16S"
"424",722,8.52751835718347,"Arch_16S"
"425",607,8.17792004442041,"Arch_16S"
"426",614,8.04667614442041,"Arch_16S"
"427",621,7.79161724442041,"Arch_16S"
"428",628,8.18774622351381,"Arch_16S"
"429",656,8.49186740971203,"Arch_16S"
"430",434,7.69743882351381,"Arch_16S"
"431",441,7.65535254304536,"Arch_16S"
"432",448,7.96260886994969,"Arch_16S"
"433",455,8.32662496994969,"Arch_16S"
"434",505,7.58152986445838,"Arch_16S"
"435",512,8.34047358056098,"Arch_16S"
"436",519,7.97840157307878,"Arch_16S"
"437",526,7.82758836389571,"Arch_16S"
"438",511,8.31063297426613,"Arch_16S"
"439",233,8.67918334206428,"Arch_16S"
"440",240,8.72615074304536,"Arch_16S"
"441",247,8.62747226994969,"Arch_16S"
"442",430,7.46963004304536,"Arch_16S"
"443",437,7.80647504442041,"Arch_16S"
"444",232,8.56360798901907,"Arch_16S"
"445",239,8.22118652351381,"Arch_16S"
"446",253,8.83613354442041,"Arch_16S"
"447",627,7.81877752351381,"Arch_16S"
"448",613,8.12832584304536,"Arch_16S"
"449",206,8.56169064711005,"Arch_16S"
"450",213,8.52841974206428,"Arch_16S"
"451",301,8.60782994304536,"Arch_16S"
"452",229,8.54157988622466,"Arch_16S"
"453",315,8.28440094442041,"Arch_16S"
"454",322,8.46972074442041,"Arch_16S"
"455",409,7.59946718074968,"Arch_16S"
"456",629,7.81382492351381,"Arch_16S"
"457",423,7.60993261442785,"Arch_16S"
"458",650,7.11371232351381,"Arch_16S"
"459",306,8.68470988622466,"Arch_16S"
"460",432,7.81878834304536,"Arch_16S"
"461",439,6.93473842351381,"Arch_16S"
"462",530,8.33512671872218,"Arch_16S"
"463",537,7.57077555102064,"Arch_16S"
"464",544,8.07695655474105,"Arch_16S"
"465",551,8.00463407389267,"Arch_16S"
"466",513,8.28346868379256,"Arch_16S"
"467",520,7.96025949551503,"Arch_16S"
"468",527,7.64108119564067,"Arch_16S"
"469",745,8.25796250388824,"Arch_16S"
"470",752,8.29274580706847,"Arch_16S"
"471",732,8.27623968308368,"Arch_16S"
"472",739,8.06638655909737,"Arch_16S"
"473",746,8.38459224592231,"Arch_16S"
"474",753,8.17769837594787,"Arch_16S"
"475",556,7.76812495627661,"Arch_16S"
"476",713,8.43637071697594,"Arch_16S"
"477",605,8.17042294304536,"Arch_16S"
"478",619,7.68754444304536,"Arch_16S"
"479",630,8.18299956994969,"Arch_16S"
"480",644,8.43248266422522,"Arch_16S"
"481",604,7.93763992351381,"Arch_16S"
"482",611,8.06394204304536,"Arch_16S"
"483",618,7.89079616994969,"Arch_16S"
"484",625,8.14317282351381,"Arch_16S"
"485",305,8.65821012351381,"Arch_16S"
"486",312,7.85844358901907,"Arch_16S"
"487",319,8.47309532351381,"Arch_16S"
"488",516,7.86440371753387,"Arch_16S"
"489",648,8.125484061179,"Arch_16S"
"490",303,8.68989114304536,"Arch_16S"
"491",310,7.88815918901907,"Arch_16S"
"492",317,8.66699034304536,"Arch_16S"
"493",426,7.80734924328026,"Arch_16S"
"494",309,7.53408204442041,"Arch_16S"
"495",401,8.28396026994969,"Arch_16S"
"496",408,7.60466837443549,"Arch_16S"
"497",415,7.59946718074968,"Arch_16S"
"498",327,8.62554948622466,"Arch_16S"
"499",522,7.35834506905765,"Arch_16S"
"500",735,8.04210339648565,"Arch_16S"
"501",742,8.12875377397583,"Arch_16S"
"502",749,8.57584720558572,"Arch_16S"
"503",756,8.07440521290425,"Arch_16S"
"504",652,8.16457404293543,"Arch_16S"
"505",601,7.84977929282581,"Arch_16S"
"506",705,8.44552089789814,"Arch_16S"
"507",712,8.55927576427028,"Arch_16S"
"508",719,8.3099830642342,"Arch_16S"
"509",524,8.0597014753505,"Arch_16S"
"510",514,7.96766178373023,"Arch_16S"
"511",706,8.46118529432554,"Arch_16S"
"512",518,7.43205953908061,"Arch_16S"
"513",720,8.52046520593578,"Arch_16S"
"514",204,8.81086294206428,"Arch_16S"
"515",733,8.23940032519271,"Arch_16S"
"516",740,8.67046765807343,"Arch_16S"
"517",225,8.56086254206428,"Arch_16S"
"518",736,8.17205377498072,"Arch_16S"
"519",743,8.16081657429424,"Arch_16S"
"520",750,8.47977050737911,"Arch_16S"
"521",634,7.00123574304536,"Arch_16S"
"522",641,8.00092553911835,"Arch_16S"
"523",236,8.93301972351381,"Arch_16S"
"524",402,7.589248015568,"Arch_16S"
"525",406,8.3406267096021,"Arch_16S"
"526",420,8.43536954442041,"Arch_16S"
"527",427,7.33901690328791,"Arch_16S"
"528",302,8.75286834304536,"Arch_16S"
"529",324,8.70401172351381,"Arch_16S"
"530",316,8.55424944304536,"Arch_16S"
"531",323,8.51971478901907,"Arch_16S"
"532",515,7.94543863652141,"Arch_16S"
"533",453,8.09861024304536,"Arch_16S"
"534",351,8.28968546994969,"Arch_16S"
"535",635,8.49186740971203,"Arch_16S"
"536",539,8.06730045505729,"Arch_16S"
"537",433,7.97251406994969,"Arch_16S"
"538",533,7.88686993707074,"Arch_16S"
"539",540,7.65986917752841,"Arch_16S"
"540",503,8.07443656735644,"Arch_16S"
"541",510,8.40276124813722,"Arch_16S"
"542",517,8.34246951172847,"Arch_16S"
"543",549,8.06792193034018,"Arch_16S"
"544",716,8.18227601606371,"Arch_16S"
"545",254,8.6555127096021,"Arch_16S"
"546",304,8.71972114442041,"Arch_16S"
"547",311,7.98731128622466,"Arch_16S"
"548",318,8.71851714304536,"Arch_16S"
"549",325,8.56066388622466,"Arch_16S"
"550",451,7.50436644442041,"Arch_16S"
"551",428,7.70247044442041,"Arch_16S"
"552",724,8.35293784287197,"Arch_16S"
"553",332,8.66584372351381,"Arch_16S"
"554",339,8.53988932351381,"Arch_16S"
"555",220,8.80513774206428,"Arch_16S"
"556",248,8.70324994304536,"Arch_16S"
"557",243,8.62195052351381,"Arch_16S"
"558",416,7.9875727096021,"Arch_16S"
"559",405,8.23434186994969,"Arch_16S"
"560",412,8.09502866994969,"Arch_16S"
"561",647,8.01627840747822,"Arch_16S"
"562",636,8.11920949304536,"Arch_16S"
"563",452,8.0073693096021,"Arch_16S"
"564",330,8.74453034442041,"Arch_16S"
"565",446,7.42760114442041,"Arch_16S"
"566",532,7.97913106450172,"Arch_16S"
"567",707,8.19320040108551,"Arch_16S"
"568",546,7.98785552088437,"Arch_16S"
"569",553,8.12014353627544,"Arch_16S"
"570",731,8.09794220881683,"Arch_16S"
"571",649,8.50410074304536,"Arch_16S"
"572",244,8.87747266994969,"Arch_16S"
"573",639,8.42471154442041,"Arch_16S"
"574",542,7.92808356997193,"Arch_16S"
"575",751,8.18336203387616,"Arch_16S"
"576",350,8.66508194304536,"Arch_16S"
"577",507,7.54120576618403,"Arch_16S"
"578",703,8.6266089974098,"Arch_16S"
"579",207,8.52558871997149,"Arch_16S"
"580",612,8.42052924304536,"Arch_16S"
"581",528,8.15703137749754,"Arch_16S"
"582",626,8.08870504304536,"Arch_16S"
"583",651,8.70137106994969,"Arch_16S"
"584",754,7.99879230329449,"Arch_16S"
"585",709,8.5102696280209,"Arch_16S"
"586",245,8.83231674442041,"Arch_16S"
"587",252,8.74681438901907,"Arch_16S"
"588",637,8.53621324304536,"Arch_16S"
"589",227,8.71925974206428,"Arch_16S"
"590",255,8.91699074304536,"Arch_16S"
"591",438,7.21228996994969,"Arch_16S"
"592",250,8.57157034304536,"Arch_16S"
"593",633,8.09365764304536,"Arch_16S"
"594",331,8.85210514304536,"Arch_16S"
"595",655,7.85155565328791,"Arch_16S"
"596",646,8.32337747172633,"Arch_16S"
"597",337,8.03115544711005,"Arch_16S"
"598",344,8.53460634442041,"Arch_16S"
"599",723,8.10582573684069,"Arch_16S"
"600",717,8.32448336188527,"Arch_16S"
"601",714,8.23465635194574,"Arch_16S"
"602",721,8.06092877609935,"Arch_16S"
"603",730,7.9000023462848,"Arch_16S"
"604",638,8.15435487775375,"Arch_16S"
"605",728,8.28883700731842,"Arch_16S"
"606",610,7.94507964304536,"Arch_16S"
"607",701,8.35786685161542,"Arch_16S"
"608",653,8.41472732351381,"Arch_16S"
"609",622,8.09364682351381,"Arch_16S"
"610",343,8.70379388622466,"Arch_16S"
"611",640,8.20408606994969,"Arch_16S"
"612",521,7.26460723850821,"Arch_16S"
"613",214,8.79260704711005,"Arch_16S"
"614",525,8.04469665864793,"Arch_16S"
"615",242,8.74332634304536,"Arch_16S"
"616",249,8.55897332351381,"Arch_16S"
"617",747,8.08661742879175,"Arch_16S"
"618",620,8.22014406994969,"Arch_16S"
"619",238,8.77888154442041,"Arch_16S"
"620",234,8.76698892351381,"Arch_16S"
"621",608,7.94511408901907,"Arch_16S"
"622",421,7.60466837443549,"Arch_16S"
"623",241,8.82403746994969,"Arch_16S"
"624",353,8.69256132351381,"Arch_16S"
"625",340,8.71972114442041,"Arch_16S"
"626",347,8.79348868622466,"Arch_16S"
"627",440,7.42029916994969,"Arch_16S"
"628",547,8.19715148385301,"Arch_16S"
"629",419,8.32212826994969,"Arch_16S"
"630",352,8.7051311096021,"Arch_16S"
"631",501,8.01375877621957,"Arch_16S"
"632",508,7.09940434758905,"Arch_16S"
