sample,timepoint,treatment,location,block,log_conc_16S,conc_16S
252,1,Brachiaria cv. Mulato II,Karama,4,6.094713896,1243695.022
254,1,Maize + Desmodium,Karama,4,6.0142788445,1034593.7747500001
255,1,Napier + Desmodium,Karama,4,6.3575180885,2278069.3880000003
309,2,Napier grass,Rubona,2,5.529542679,338487.53370000003
310,2,Brachiaria cv. Mulato II,Rubona,2,5.7749524735,595694.1202
311,2,Desmodium distortum,Rubona,2,5.750910153,563521.0629
312,2,Maize + Desmodium,Rubona,2,5.669098846500001,468304.66385
313,2,Napier + Desmodium,Rubona,2,5.7767140994999995,598467.07015
314,2,Brachiaria + Desmodium,Rubona,2,5.5367776185,344407.4321
315,2,maize monoculture,Rubona,3,5.958519204,908981.0538
316,2,Napier grass,Rubona,3,6.0694804225,1177146.4745
329,2,maize monoculture,Karama,1,6.0397037395,1097179.499
330,2,Napier grass,Karama,1,5.5060966825,320707.1063
349,2,Brachiaria + Desmodium,Karama,3,6.065689685500001,1163930.3739999998
351,2,Napier grass,Karama,4,5.7324360555,540058.3106
352,2,Brachiaria cv. Mulato II,Karama,4,6.0159390155,1037991.9535000001
354,2,Maize + Desmodium,Karama,4,6.042139782666667,1102553.0286666667
355,2,Napier + Desmodium,Karama,4,5.8399125125,691882.1838
634,5,Napier + Desmodium,Karama,1,6.036666852,1088701.3666666667
636,5,maize monoculture,Karama,2,6.065124115333333,1162815.046
640,5,Maize + Desmodium,Karama,2,6.05226251,1127902.349
